payment_id,order_id,payment_method,amount,payment_status,transaction_timestamp
a20087af-ce9a-425b-8b73-7dc51279f72c,0ac2a0b2-f060-4ff8-a004-52e6b345fb5c,Gift Card,7203.05,success,2023-05-13 04:20:25
57442e0e-4b70-4e53-bef7-822a45e73c3e,5fdc4b98-09ef-4dba-bda1-a588e9690f91,UPI,8499.69,success,2024-10-21 08:19:52
5dd9f9ad-5392-4a6e-aa9f-a08a94f1ce3d,2788398c-8be1-4524-9847-502c1a090765,COD,11099.17,success,2022-12-21 16:53:28
66caed41-814d-4079-8afd-24add166e215,4bd529e7-3bfd-4127-8b7a-b6d3196e4f5d,Gift Card,15689.87,success,2024-12-24 13:08:28
76d237d5-0117-4aa9-a45c-3ef19e702364,7d19adb1-838d-4e85-b18f-084e03dc10d0,UPI,542.91,success,2023-05-01 14:36:31
29efd7ad-f51d-46ff-9ae1-db977f4a43d4,dd8feb99-6f70-484e-b984-c32421560146,COD,17354.99,success,2023-10-23 15:57:04
a00c4d69-3af2-41f1-a65f-805846e57f0f,48ff3368-61ad-4288-8465-8e7bd67b7ae1,Netbanking,3046.56,success,2023-11-24 11:12:38
c30cc321-367d-489a-a980-85675503cf91,42a7c9c7-203c-485a-9ea9-e235e7f95e9e,Debit Card,1372.67,success,2022-05-23 14:18:42
d9114066-cc32-49a5-9189-1f56ec84d890,6a4368a5-3ba0-43ce-8fac-d5801632d8ff,Gift Card,9975.58,success,2023-08-15 07:48:11
abb0fe54-c4cf-4671-846d-ba0d7849a8d1,77f67dac-11bd-4b12-ad4d-e4b37ef18296,Credit Card,115.57,success,2022-08-10 13:41:41
cd7abf33-0275-49b5-a7e0-43767ed752c1,41648f43-49a7-4d47-8ece-8049d2dd82be,Credit Card,849.71,success,2022-12-28 21:04:54
81f0905a-a336-440b-a365-05e7645f1e32,ada2b03d-9479-4d89-8cb4-5d137efbafa1,Gift Card,2144.33,success,2024-12-25 08:30:10
e46b6bf8-754b-400a-9318-d1b5826eb1ae,8e1af30e-d0b3-430d-9ab3-dabc0d7a46e0,COD,277.27,success,2023-05-04 18:12:35
3c1ca016-4afd-4bce-bd95-03f08743ccc5,bcbe6ea1-e9a7-49b6-80fb-beb0b109f502,Netbanking,5252.29,success,2023-01-21 06:49:51
55444a3c-c3cf-49bf-95ff-9fc4bd9457e0,dc66c4be-539e-41a6-9246-ef7ec9095b02,Debit Card,6916.05,success,2024-09-21 10:55:38
e890f869-3273-41eb-91a6-c4a17e7f6c92,7b577f10-3f38-47d8-b12e-4e600d2f9877,Netbanking,4226.03,success,2022-05-12 09:54:20
2b6c1eb8-4133-46c4-bf20-eb8d1c0b7003,84d72e0e-5002-4629-be94-4c9c7ce43cab,Credit Card,2627.15,success,2022-08-11 13:46:07
