order_id,customer_id,order_date,total_amount,status,city,state,country
0ac2a0b2-f060-4ff8-a004-52e6b345fb5c,56d0acad-93e6-4207-bf9f-bbc766ba3c1c,2023-05-13 04:19:10,7203.05,delivered,Sydney,New South Wales,Australia
5fdc4b98-09ef-4dba-bda1-a588e9690f91,9d77f5d4-502c-4b8c-beb4-4e951b6055d2,2024-10-21 08:19:21,8499.69,shipped,Chennai,Tamil Nadu,India
2788398c-8be1-4524-9847-502c1a090765,67de208a-cb8c-4b56-bae2-7d224e0b987e,2022-12-21 16:53:01,11099.17,delivered,Bengaluru,Karnataka,India
4bd529e7-3bfd-4127-8b7a-b6d3196e4f5d,090b511a-5b4c-4e3a-bff5-447bed1099bb,2024-12-24 13:08:16,15689.87,delivered,London,England,United Kingdom
7d19adb1-838d-4e85-b18f-084e03dc10d0,ac5c64e9-89b8-4c79-b30a-b1cb6fdc3312,2023-05-01 14:34:17,542.91,shipped,London,England,United Kingdom
dd8feb99-6f70-484e-b984-c32421560146,32156fd0-b752-498f-b2be-8d2ed349e82a,2023-10-23 15:56:09,17354.99,delivered,Kolkata,West Bengal,India
48ff3368-61ad-4288-8465-8e7bd67b7ae1,fcee1e9d-ca5c-4f12-b45b-1a4569f69dc2,2023-11-24 11:10:14,3046.56,delivered,Pune,Maharashtra,India
42a7c9c7-203c-485a-9ea9-e235e7f95e9e,998cc888-896a-4bac-a8d6-440441d276cb,2022-05-23 14:16:07,1372.67,delivered,Chennai,Tamil Nadu,India
6a4368a5-3ba0-43ce-8fac-d5801632d8ff,7b701234-cf24-4730-813c-99c3004ca62d,2023-08-15 07:47:26,9975.58,shipped,Dublin,Leinster,Ireland
77f67dac-11bd-4b12-ad4d-e4b37ef18296,80d3f95e-7920-42c6-8b97-c15f50236440,2022-08-10 13:40:25,115.57,shipped,New York,New York,USA
41648f43-49a7-4d47-8ece-8049d2dd82be,a8d7199f-9351-44a2-9c68-2d9023e660ea,2022-12-28 21:04:23,849.71,created,Dubai,Dubai,UAE
ada2b03d-9479-4d89-8cb4-5d137efbafa1,2c50946e-70ee-43c7-84f1-3026d8fd0e6c,2024-12-25 08:28:34,2144.33,delivered,Ahmedabad,Gujarat,India
8e1af30e-d0b3-430d-9ab3-dabc0d7a46e0,36ffead7-74dd-4e2d-92aa-cbd2f80edd7a,2023-05-04 18:11:23,277.27,shipped,Lucknow,Uttar Pradesh,India
bcbe6ea1-e9a7-49b6-80fb-beb0b109f502,95f4a7a0-5f23-43c3-bcff-c521740a4584,2023-01-21 06:47:49,5252.29,delivered,New York,New York,USA
dc66c4be-539e-41a6-9246-ef7ec9095b02,cbdaff21-8391-4902-a892-60b76c68394a,2024-09-21 10:55:13,6916.05,shipped,Delhi,Delhi,India
7b577f10-3f38-47d8-b12e-4e600d2f9877,fda5d13c-45c5-4268-abd2-b676ac9d8dfe,2022-05-12 09:51:37,4226.03,created,Johannesburg,Gauteng,South Africa
84d72e0e-5002-4629-be94-4c9c7ce43cab,09e9c7ca-6671-4a26-a6d0-c46a4650c814,2022-08-11 13:43:35,2627.15,cancelled,Kolkata,West Bengal,India
e737f139-2c74-4e62-b666-38de068a7cbd,3cd3973c-9206-4c7d-9ab3-bb80103b2bc6,2023-05-05 02:02:30,18398.37,delivered,Johannesburg,Gauteng,South Africa
1664f03a-9b66-4bb9-bfff-f56823d04cf2,a3be91dd-887c-471a-80bc-933ea7198d00,2024-12-23 01:49:30,2838.70,delivered,Kolkata,West Bengal,India
fb5060a6-8a98-4452-a0f5-5566cbac7f13,db19bce5-bce3-4194-acea-295f5cf9682a,2024-10-26 19:59:18,26470.81,delivered,Jaipur,Rajasthan,India
287f896b-c431-4473-b8c7-dcd1fa277482,eabb4cb7-5987-4491-9334-d281da6b29c4,2024-11-06 03:20:01,12991.24,delivered,Hyderabad,Telangana,India
ee0da30a-6e11-4823-994a-eec6c23b9580,1eaff8b4-f2be-47b2-bc70-ee74f69ad6c9,2022-08-14 21:04:07,1194.26,delivered,Kolkata,West Bengal,India
a8b9fab5-0f7d-49d4-aa0b-f4aaded62c8e,23c4e719-e3bf-4635-a366-6bb960330c6e,2022-11-28 09:57:46,22890.70,shipped,Johannesburg,Gauteng,South Africa
34dd7b60-acb3-4b7c-bdd8-a0fed15fb30c,922ee984-6514-46c0-8396-f0e556f92012,2024-01-23 12:03:28,15052.75,delivered,Dubai,Dubai,UAE
a1a97400-fbd6-4b7d-a62e-4176856ea3e2,29e2d220-f536-4674-bc56-a0c0e1ead222,2022-01-19 02:02:36,2034.11,shipped,Pune,Maharashtra,India
851014bf-73d4-4be3-b9ab-fa6d8743a9e4,e8ef69be-efa3-4ff3-accc-cec977e74d9e,2024-10-29 09:42:32,2329.76,delivered,Berlin,Berlin,Germany
e70e08a0-7be2-4e68-88b6-be5bd2135c2f,b3710471-6ab9-48ff-bbd3-8f172d3561ec,2023-08-12 22:19:02,1666.56,delivered,Delhi,Delhi,India
fe2a1c7d-c6f2-4388-971a-e85d83f9e6c3,c2104d00-e298-436c-86a9-64c65a606cfd,2023-02-14 09:51:19,21911.66,returned,Sydney,New South Wales,Australia
4cb20101-f238-45fa-b8d9-0e55d143a7af,7497ac85-36a8-4c31-a847-b510f365ebd2,2022-10-30 20:33:24,2809.29,shipped,Toronto,Ontario,Canada
29e5fd6c-d105-42af-b393-d3aab41d0412,efd6a161-67a3-4b43-aa0d-feec4c27bd7e,2022-12-21 05:15:31,3230.39,delivered,Berlin,Berlin,Germany
5129d6b6-5c7a-4ca0-ad63-a68e85cd5bb5,7ed8a347-dc6c-4a45-bd26-3205997a9525,2024-08-15 20:45:55,14086.51,delivered,Johannesburg,Gauteng,South Africa
99697fc2-045c-4d47-a5e2-08f3edf868f8,69ab9d92-cb95-4f0d-805b-7c38a8a71c27,2022-10-24 16:43:32,16341.09,created,Dubai,Dubai,UAE
1b579700-f96c-4458-a39e-a74bff88fa72,43d871d9-88cf-4c50-b7db-b33940a7eb9a,2023-01-25 14:52:09,11061.62,delivered,Dubai,Dubai,UAE
588eedf2-a238-4537-9246-cba32461f23d,a62773f3-6687-4952-8f9f-c14fb9e5181d,2024-05-04 15:38:18,705.73,returned,London,England,United Kingdom
1d3ffc79-947d-43a9-90af-f0392f3d9db3,f8d98031-d550-4e2e-b602-1917a0afb639,2022-07-19 16:46:50,14755.93,shipped,Sydney,New South Wales,Australia
cc8bea36-0edb-4dda-82c4-c3747225fed6,2bc859dc-bd98-4974-b569-04741ab2d0bd,2024-08-15 14:03:26,64217.06,shipped,Singapore,Singapore,Singapore
75e0d596-7080-4ba7-a790-cc372bbbf0fe,d7190712-2e84-4a33-97b3-c57551d3eda3,2024-12-07 22:07:46,725.6,delivered,Chennai,Tamil Nadu,India
4b6bf16a-4400-46a4-af60-0745ee40aae4,4d2d664e-8571-4c2d-b240-af041ee79e0f,2024-12-22 13:22:59,11464.47,delivered,Chennai,Tamil Nadu,India
0e191207-271f-4e1c-aba4-37b31f92d97d,d6a092e0-093d-4113-b5a4-614bc8f32ece,2023-01-21 15:43:26,32429.49,delivered,Berlin,Berlin,Germany
424219e2-a5a4-4751-bddc-2ab44b6c98d1,f22b864b-0817-4146-a5f6-90016ca678b2,2023-01-23 20:41:52,9935.26,delivered,Lucknow,Uttar Pradesh,India
b7872cad-a660-4c81-b6c9-7805cd7d4e67,f2ef3e78-515b-4399-9eaf-803e388a34cc,2022-05-12 09:44:11,1047.64,delivered,Ahmedabad,Gujarat,India
38f5146a-2b07-4c78-b30d-ef66ea8fb81d,2a0dd806-ac24-41a2-9d65-7683a03d7fa1,2022-04-21 07:45:12,1900.87,delivered,Lucknow,Uttar Pradesh,India
6eeec244-03b7-484b-b6fa-482d2afe80ac,d91ec0ec-e6bf-4a71-9424-b1ab59566788,2022-12-23 13:31:53,25168.23,delivered,New York,New York,USA
